"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_001","ACCT_011A","ACCT_011B1","ACCT_011B2","ACCT_013A","ACCT_013B1","ACCT_013B2","ACCT_014","ACCT_017","ACCT_018A","ACCT_018B1","ACCT_018B2","ACCT_021A","ACCT_022A","ACCT_023A","ACCT_041A","ACCT_058A","ACCT_058B1","ACCT_058B2","ACCT_062","ACCT_063","ACCT_076","ACCT_077","ACCT_078","ACCT_079","ACCT_081","ACCT_082","ACCT_090","ACCT_099","ACCT_110","ACCT_119","ACCT_120","ACCT_124","ACCT_125A","ACCT_125B","ACCT_125C","ACCT_125D","ACCT_125E","ACCT_126A","ACCT_126B","ACCT_126C","ACCT_126D","ACCT_126E","ACCT_131","ACCT_132","ACCT_133","ACCT_134","ACCT_135","ACCT_140","ACCT_142","ACCT_143","ACCT_144","ACCT_210","ACCT_230","ACCT_250","ACCT_260","ACCT_270","ACCT_280","ACCT_290","ACCT_305","ACCT_310","ACCT_314","ACCT_315","ACCT_320","ACCT_360","ACCT_370","ACCT_381","ACCT_384","ACCT_385","ACCT_389","ACCT_391","ACCT_393","ACCT_395","ACCT_396","ACCT_397","ACCT_399","ACCT_420","ACCT_430","ACCT_440","ACCT_451","ACCT_452","ACCT_453","ACCT_454","ACCT_455","ACCT_458","ACCT_460","ACCT_463","ACCT_475","ACCT_481","ACCT_482","ACCT_532","ACCT_547","ACCT_548","ACCT_549","ACCT_553","ACCT_554","ACCT_555","ACCT_560","ACCT_561","ACCT_564A","ACCT_564B","ACCT_593","ACCT_594","ACCT_595","ACCT_596","ACCT_599","ACCT_002","ACCT_115","ACCT_116","ACCT_117","ACCT_350","ACCT_565","Acct_661A","Acct_769A","Acct_769B","Acct_820A","Acct_954","Acct_925A","Acct_925B1","Acct_925B2","Acct_010A","Acct_010B","Acct_010C","Acct_730A","Acct_730B","Acct_730C","Acct_799I","Acct_814A","Acct_889A","Acct_889B","Acct_892A","Acct_892B","Acct_945A","Acct_945B","Acct_996","Acct_997","Acct_998","Acct_999","ACCT_779A","ACCT_785A","ACCT_798A","ACCT_814B","ACCT_865A","ACCT_900A","ACCT_900B","ACCT_900C","ACCT_900D","ACCT_900F","ACCT_903","ACCT_904","ACCT_905","ACCT_906","ACCT_961A","ACCT_972A","ACCT_972B","ACCT_972C","ACCT_972D","ACCT_972E","ACCT_973A","ACCT_973B","ACCT_976B","ACCT_982A","ACCT_982B","ACCT_982C","ACCT_982D","ACCT_982E","ACCT_983A","ACCT_983B","ACCT_986B","ACCT_617A","ACCT_618A","ACCT_718A","ACCT_617B","ACCT_617C","ACCT_618B","ACCT_618C","ACCT_883A","ACCT_883B1","ACCT_883B2","ACCT_883C","ACCT_881","ACCT_882","ACCT_822","ACCT_567","ACCT_568","ACCT_020C","ACCT_021C","ACCT_022C","ACCT_023C","ACCT_041C","ACCT_020D","ACCT_021D","ACCT_022D","ACCT_023D","ACCT_041D","ACCT_713A","ACCT_714A","ACCT_715A","ACCT_716A","ACCT_020E","ACCT_021E","ACCT_022E","ACCT_023E","ACCT_041E","ACCT_020F","ACCT_021F","ACCT_022F","ACCT_023F","ACCT_041F","ACCT_065A","ACCT_065B","ACCT_065C","ACCT_065D","ACCT_065E","ACCT_067A","ACCT_067B","ACCT_067C","ACCT_550J","ACCT_550K","ACCT_550L","ACCT_551J","ACCT_551K","ACCT_551L","ACCT_029A","ACCT_029B","ACCT_029C","ACCT_029D","ACCT_029E","ACCT_030A","ACCT_030B","ACCT_030C","ACCT_030D","ACCT_030E","ACCT_032A","ACCT_032B","ACCT_032C","ACCT_032D","ACCT_032E","ACCT_704F1","ACCT_704F2","ACCT_704F3","ACCT_704F4","ACCT_811B"
1,12/31/2020 0:00:00,2,0,0,0,0,8886364,0,0,9993603,0,8886364,0,0,8,1,4,13,0,0,0,0,92019,2,0,0,0,3,0,0,0,379586,0,1319,0,0,0,0,0,0,0,0,0,0,0,27511,0,0,0,0,0,0,0,0,176951,1064,15332,146559,954,8969,4016,0,0,0,0,2512,5162,2995947,0,0,2424658,0,0,0,0,0,909722,0,0,0,0,95,324,0,1323,0,0,1742,0,0,0,0,0,105,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,380905,310382,111193,69210,0,60056,0,2698,7317,0,0,0,0,0,0,0,101341,1190323,0,752698,0,0,0,3,574,0,0,0,1099922,1100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,7390,1570,29668,4761,0,6466,11227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12/31/2020 0:00:00,7,0,0,0,0,176856663,3783123,3316346,208442287,0,176856663,6760123,5299346,121,4,2,127,0,0,0,0,122019,2,0,0,0,24,16,0,0,9320973,0,317744,0,0,0,0,0,0,0,0,0,0,0,1411511,0,0,0,0,0,0,0,0,6079346,87235,477206,3782588,194392,600321,207074,0,0,0,0,47682,51411,49328724,0,0,21382152,0,0,0,0,13167409,18317392,0,0,0,1455667,554,12897,464,32271,192,151,51489,0,0,0,0,5,150,0,0,5,53,0,0,0,91,8,0,0,0,0,196,0,9638717,7799326,5188177,633819,0,1460248,0,381008,61184,0,0,0,0,0,0,0,4411321,35770502,0,17707173,0,0,0,3,16475,0,0,0,15698881,753,0,0,0,32500,0,0,0,0,0,0,0,1,0,0,0,0,68,110,10,8,0,0,0,0,18,9,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9560000,0,0,14183653,1721,242717,273277,13775,4247,291299,0,0,0,0,0,56834,0,16101,0,0,0,0,0,0,8237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0
12,12/31/2020 0:00:00,11,0,0,0,0,52013209,1155274,518786,54402663,0,52013209,1155274,518786,73,34,0,107,0,0,0,0,32020,2,0,0,0,0,0,0,0,2177894,0,166298,0,0,0,0,0,0,0,0,0,0,0,1140851,0,0,0,0,0,0,0,0,2228944,29354,450631,618153,46049,158640,776256,0,0,0,0,11471,183325,3433634,0,0,3403468,0,0,0,0,3919239,5808277,0,0,0,3322,194,6253,180,9291,6939,397,23254,0,0,0,0,40,40,0,0,0,40,0,0,0,27,2,0,0,0,0,0,0,2344192,1907305,2096187,80732,0,-499331,0,41743,1243,0,0,0,0,0,0,0,608871,6000998,5976000,12760443,0,0,0,3,5726,0,-2737266,0,4332278,796,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,76,0,0,0,3,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2090000,0,0,7519768,1805,13421,57540,18589,0,76129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,12/31/2020 0:00:00,12,0,6000000,8000000,5000000,417989280,46885394,41348745,619716870,0,434934280,52985394,51289745,65,7,3,75,0,0,0,0,122019,2,0,0,0,9,11,0,0,20022627,0,519848,0,0,0,0,0,0,0,0,0,0,0,3201296,0,0,0,0,0,0,0,0,8284503,62555,745603,4888643,262556,1038131,415089,0,0,0,0,147329,71939,173264592,0,0,177408098,0,0,0,0,8925347,15645531,0,0,-10376,0,4305,25870,1606,55762,43,510,88107,0,0,0,0,25,90,0,12035,0,25,0,0,0,106,0,0,0,0,0,355,0,20542475,11902092,9526094,7565182,0,5511838,0,0,0,0,5000000,0,5000000,0,0,0,9819848,66470147,0,3591706,0,0,0,3,21876,0,-1468351,0,59534126,960,0,38402554,0,824877,0,227060376,0,0,0,0,0,1,0,0,0,0,166,483,0,71,0,337,0,0,217,269,0,13,0,138,0,0,13249,309497946,0,13249,0,309497946,0,0,0,0,0,50000000,0,0,265004,1638,273341,58390,31994,0,90384,0,0,0,0,0,179928,514518,0,90004,1692679,341592,34355,46521,422468,5593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,5,1,1,1,3,0,0,0,0,0,0,0,0,0,0
16,12/31/2020 0:00:00,14,0,0,0,0,8467944,78366,0,9837413,0,8467944,78366,0,2,0,0,2,0,0,0,0,42020,5,0,0,0,0,1,0,0,170510,0,98777,0,0,0,0,0,0,0,0,0,0,0,39712,0,0,0,0,0,0,0,0,200647,0,3300,50168,2781,52153,16767,0,0,0,0,2620,2550,1076535,0,0,758017,0,0,0,0,140588,231617,0,0,-1,0,100,352,16,1282,0,0,1750,0,0,0,0,0,50,0,0,1,50,0,0,0,3,1,0,0,0,0,0,0,269287,249554,67884,19733,0,-13548,0,40342,9205,0,0,0,0,0,0,0,96307,2002087,0,3810276,0,0,0,3,291,0,0,0,1290881,1312,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,12/31/2020 0:00:00,16,0,0,0,0,7188027,0,0,10040837,0,7188027,0,0,0,0,0,0,0,0,0,0,62020,3,0,0,0,0,0,0,0,75916,0,130582,0,0,0,0,0,0,0,0,0,0,0,3050,0,0,0,0,0,0,0,0,98458,0,12915,38022,1194,460,13838,0,0,0,0,2453,2067,106952,0,0,330912,0,0,0,0,0,415824,0,0,0,0,0,0,0,2015,0,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,206498,194224,4577,10759,0,29394,2857,0,0,0,0,0,0,0,0,0,30,985177,0,8106299,0,0,0,0,0,0,0,0,2839734,2828,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12/31/2020 0:00:00,17,0,0,0,0,223825306,11383247,3084146,277588615,0,223825306,11383247,3084146,4,7,5,16,0,0,0,0,92020,2,0,0,0,2,9,0,0,8474277,0,501370,0,0,0,0,0,0,0,0,0,0,0,188306,0,0,0,0,0,0,0,0,2820040,43041,335327,1489762,165479,961681,394961,0,401512,0,0,66103,62598,42493891,0,0,13155894,0,0,0,0,16269980,16128795,0,0,36401,0,2232,9109,1503,21255,0,1547,35646,0,0,0,0,30,35,0,217031,110,35,0,0,0,29,0,0,0,0,0,0,0,8977217,6481472,1285661,1845745,0,1026629,0,0,199665,0,0,0,0,0,0,0,1041817,19193335,10000000,45516987,0,0,0,3,8343,0,-458797,0,37420856,1348,0,0,0,540496,0,0,0,0,0,0,0,1,0,0,0,0,0,27,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12810918,0,0,296422,1640.41,25139,1375,10550,27598,39523,0,0,0,0,0,0,0,172363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
26,12/31/2020 0:00:00,19,0,0,0,0,16394252,1379760,0,19913291,0,16394252,1379760,0,1,0,0,1,0,0,0,0,122019,3,0,0,0,0,1,0,0,267241,0,229580,0,0,0,0,0,0,0,0,0,0,0,98863,0,0,0,0,0,0,0,0,211082,469,38609,73196,7867,799,128010,0,0,0,0,4346,35842,1161786,0,0,1616839,0,0,0,0,265540,120877,0,0,0,0,161,653,0,1314,23,0,2151,0,0,0,0,0,121,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,496821,442295,98863,54526,0,40938,0,111464,0,0,0,0,0,0,0,0,269811,3631226,0,10043464,0,0,0,3,803,0,0,0,1983245,995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,0,22654,1699,0,0,0,0,0,0,0,0,0,0,45154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12/31/2020 0:00:00,21,0,0,0,0,720590644,54590388,9755228,914802442,0,720590644,54590388,9755228,338,59,58,455,0,0,0,0,62020,2,0,0,0,102,41,0,0,38970600,0,326281,0,0,0,0,0,0,0,0,0,0,0,14596139,0,0,0,0,0,0,0,0,24028184,474706,2145370,4933930,1217164,1703482,3833915,0,0,0,0,209403,354866,268199094,0,0,34021580,0,0,0,0,73598,67467878,0,0,-459252,3000,8142,52571,3065,102179,0,9384,175341,0,0,0,0,20,35,60814,2699,0,35,0,0,0,255,17,0,0,0,0,0,0,39296881,25882382,18540836,6274977,0,5522198,0,5354,103,0,0,0,0,0,0,0,7701537,62083151,0,13077545,0,0,0,3,55899,0,-11555481,0,73730491,805,0,477505093,0,666929,11619784,0,0,0,0,0,0,1,0,0,0,0,461,1174,15,0,0,210,0,0,920,377,0,0,0,75,0,0,13716,215684015,0,13716,0,215684015,0,0,0,44369620,44369620,264625814,0,0,11662581,1669,634265,687066,80370,546880,1314316,0,0,0,0,0,749001,114618,209776,18908,4094965,1810095,187413,160155,2157663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,1,3,10,0,0,0,1,1,3,4,2,3,9,0,0,0,0,0
42,12/31/2020 0:00:00,29,0,0,0,0,95254233,2907123,1807482,110114633,0,95254233,2907123,1807482,21,0,3,24,0,0,0,0,92020,2,0,0,0,13,1,0,0,2875782,0,483269,0,0,0,0,0,0,0,0,0,0,0,616168,0,0,0,0,0,0,0,0,1427649,8721,129556,491836,114460,226350,862557,0,0,0,0,24444,18606,2918527,0,0,14964982,0,0,0,0,2836843,4114799,0,0,-27294,-42491,489,7000,400,12450,35,222,20596,0,0,0,0,29,174,0,0,4,123,0,0,0,17,5,0,0,0,0,0,0,3359051,2611512,1214702,375398,0,522035,0,0,0,0,0,0,0,0,0,0,1035597,8592062,0,37980500,0,0,0,3,6309,0,0,0,9593138,871,0,0,0,6850,67943,0,0,0,0,0,0,1,0,0,0,0,39,143,0,0,0,0,4,0,21,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,0,0,1061803,1620,75234,45809,0,19558,65367,0,0,0,0,0,249264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12/31/2020 0:00:00,30,0,0,0,0,40831049,1797848,0,48901252,0,40831049,1797848,0,1,0,0,1,0,0,0,0,102019,3,0,0,0,0,0,0,0,791619,0,399200,0,0,0,0,0,0,0,0,0,0,0,51069,0,0,0,0,0,0,0,0,577883,3615,54607,108769,7128,7339,337838,0,0,0,0,11362,24510,4524878,0,0,2967876,0,0,0,0,487907,505230,0,0,0,304662,251,1450,81,2838,0,399,5019,0,0,0,0,35,257,0,0,0,100,0,0,0,8,0,0,0,0,0,0,0,1190819,1009828,355731,160991,0,232508,0,0,0,0,0,0,0,0,0,0,339846,9394163,0,18184000,0,0,0,3,1696,0,0,0,5791546,1184,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700000,0,0,300716,1575,0,3388,0,0,3388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,12/31/2020 0:00:00,31,0,0,0,0,48888805,1673700,1628557,64010870,0,48888805,1673700,1628557,30,2,1,33,0,0,0,0,62020,3,0,0,0,7,8,0,0,1506087,0,621584,0,0,0,0,0,0,0,0,0,0,0,186115,0,0,0,0,0,0,0,0,996840,25828,117033,231584,65308,200665,413756,0,0,0,0,16126,22634,7912943,0,0,3961752,0,0,0,0,1002115,3882571,0,0,0,7641,143,2338,133,4427,632,0,7673,0,0,0,0,0,147,0,0,30,76,0,0,0,11,0,0,0,0,0,0,0,2127671,1664503,537819,300090,0,112548,0,155000,0,0,0,0,0,0,0,0,561027,3526019,0,32028000,0,0,0,3,2031,0,-1926539,0,13412756,2095,0,0,0,34226,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,6,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6144000,0,0,3216074,1691,22950,50827,0,0,50827,0,0,0,0,0,68159,0,0,0,0,0,0,0,0,5466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,12/31/2020 0:00:00,32,0,0,0,0,4306570103,111664637,17096269,4840598781,0,4306570103,111664637,17096269,756,110,151,1017,0,0,0,0,122019,3,0,0,0,605,216,0,0,112598818,0,20922134,0,0,0,0,0,0,0,0,0,0,0,23860307,0,0,0,0,0,0,0,0,84410003,572804,9100858,22370047,3056664,11167058,17137568,0,0,0,0,630790,10139626,105742649,0,0,764010375,0,0,0,0,86981795,262034921,0,0,-37094,0,15712,264159,10264,466525,5356,55644,817660,0,0,0,0,25,50,0,56530,0,50,0,0,0,901,44,0,0,0,0,0,0,132173511,94990296,89910791,16842152,0,26315669,0,382290,1121,0,0,0,0,0,0,4622342418,29982348,734517962,0,1194760979,0,0,0,3,185677,0,0,0,344419097,745,0,2365802310,0,3928187,27012605,0,0,0,0,0,0,1,0,0,0,0,775,5918,1232,235,0,1651,800,0,3234,2020,360,37,0,163,257,0,21722,406132912,0,21722,0,406132912,0,1691596,0,0,1691596,17500000,0,0,4418595,1595,6582859,2478854,243513,631120,3353487,0,0,0,0,0,2091000,2245542,1743309,1830329,5225227,1509213,394193,229356,2132762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,5,7,17,11,3,1,3,7,34,15,4,27,46,0,0,0,0,0
53,12/31/2020 0:00:00,33,0,0,0,0,62033042,487697,34086,66890129,0,62033042,487697,34086,20,5,0,25,0,0,0,0,122019,3,0,0,0,1,3,0,0,1585534,0,212332,0,0,0,0,0,0,0,0,0,0,0,307964,0,0,0,0,0,0,0,0,1273736,3055,137097,283594,2261,145672,795204,0,0,0,0,16733,56512,2867363,0,0,1193301,0,0,0,0,2867716,1303839,0,0,-3444,5000,201,4187,169,6703,0,25,11285,0,0,0,0,10,10,0,0,1,25,0,0,0,14,1,0,0,0,0,0,0,1797866,1767399,561948,29758,0,-384517,0,80000,0,0,0,0,0,0,0,64992762,636127,8222450,0,15083688,0,0,0,3,3352,0,-1339070,0,4198021,645,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,52,0,0,0,8,11,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000,0,0,89555,1631,24793,10248,3007,0,13255,0,0,0,0,0,0,50874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
60,12/31/2020 0:00:00,35,0,0,0,0,319689542,9095429,5438926,373746956,0,319689542,9095429,5438926,80,70,82,232,0,0,0,0,32020,2,0,0,0,43,5,0,0,9431258,0,1873715,0,0,0,0,0,0,0,0,0,0,0,3248003,0,0,0,0,0,0,0,0,8380426,71277,890624,962131,658212,886355,2570591,0,0,0,0,83430,137715,77910162,0,0,7384638,0,0,0,0,10408458,6612549,0,0,0,0,1552,18491,998,28700,4396,2787,56924,0,0,0,0,20,50,161469,17130,2,20,0,0,0,104,6,0,0,0,0,0,0,11304973,9741325,9893731,779648,0,4994295,0,179536,1136,0,0,0,0,0,0,0,2757843,68808536,0,100140157,0,0,0,3,20156,0,-7987141,0,41957844,1122,0,0,0,115000,776159,0,0,0,0,0,0,1,0,0,0,0,8,235,9,17,0,52,0,0,1488,42,1,1,0,0,0,0,2069,22752339,0,2069,0,22752339,0,0,0,0,0,32105973,0,0,0,0,185240,134643,106831,148259,389733,0,0,0,0,0,54387,0,46626,94505,321429,198416,173162,159005,530583,0,9379,0,0,9379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
62,12/31/2020 0:00:00,36,0,0,0,0,30777514,0,0,35854113,0,30777514,0,0,2,2,2,6,0,0,0,0,62020,2,0,0,0,0,1,0,0,929484,0,25672,0,0,0,0,0,0,0,0,0,0,0,42846,0,0,0,0,0,0,0,0,482254,4788,74269,149417,19351,43324,181116,0,0,0,0,5673,1932,1664964,0,0,1029888,0,0,0,0,437350,738059,0,0,0,0,0,1195,159,2740,0,0,4094,0,0,0,0,0,0,30000,0,0,50,0,0,0,6,1,0,0,0,0,0,0,955156,867484,137628,62672,0,42988,0,114580,3477,0,0,0,0,0,0,0,330449,12540681,0,114580,0,0,0,3,974,0,0,0,5047925,1407,0,0,0,129715,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,115,0,7,0,0,0,3,0,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1750000,1750000,0,0,0,4598,5885,0,1704,7589,0,0,0,0,0,0,231084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0
75,12/31/2020 0:00:00,40,0,0,0,0,1938691,0,0,2551637,0,1938691,0,0,0,0,0,0,0,0,0,0,122019,2,0,0,0,0,0,0,0,8098,0,53401,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,39010,150,0,10100,0,9,9382,0,0,0,0,708,0,0,0,0,0,0,0,0,0,0,38500,0,0,0,0,0,0,0,252,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,61499,53663,396,7836,0,-5300,968,0,3905,0,0,0,0,0,0,0,750,709270,0,1779449,0,0,0,0,0,0,0,0,605806,2374,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,12/31/2020 0:00:00,41,0,0,0,0,179189131,1412317,220349,191547204,0,179189131,1412317,220349,75,1,0,76,0,0,0,0,92020,3,0,0,0,5,5,0,0,5422443,0,327102,0,0,0,0,0,0,0,0,0,0,0,4871378,0,0,0,0,0,0,0,0,5076896,23765,343999,1417449,329513,300107,767148,0,3987,0,0,76688,109278,67889920,0,0,16469297,0,0,557254,0,0,2722024,0,0,120547,83601,814,10388,426,16454,1884,318,30284,0,0,0,0,12,75,1629,0,0,9,0,0,0,61,3,0,0,0,0,0,0,5749545,1528523,5420794,216870,0,-1499513,0,1174792,45604,0,0,0,0,0,0,181932441,2279569,60079341,0,6172675,0,0,0,3,9825,0,-1295073,0,11234939,617,0,0,0,134359,964997,0,0,0,0,0,0,1,0,0,0,0,16,59,8,19,0,0,19,0,7,9,3,15,0,0,2,0,459,4955636,0,459,0,4955636,0,0,0,0,0,20431905,0,0,1265518,1700,74405,63732,0,0,63732,0,0,0,0,0,0,0,32375,0,188247,121531,0,0,121531,50121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
